Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
QCOM,"Qualcomm Inc",119.93,-0.58,-0.48%,122.87,119.15,3738439,"12:56 ET"
REGN,"Regeneron Pharmaceuticals",746.14,-3.61,-0.48%,754.32,744.02,331425,"12:55 ET"
RIVN,"Rivian Automotive Inc Cl A",13.06,-0.4,-2.97%,13.32,12.8,14520946,"12:56 ET"
ROST,"Ross Stores Inc",101.71,-1.53,-1.48%,102.58,101.06,898451,"12:56 ET"
SBUX,"Starbucks Corp",98.4,-2.03,-2.02%,99.29,98.03,3624821,"12:56 ET"
SGEN,"Seagen Inc",199.98,-0.5,-0.25%,200.64,199.65,502579,"12:56 ET"
SIRI,"Sirius XM Holdings",3.62,0.01,+0.28%,3.66,3.6,9347382,"12:55 ET"
SNPS,"Synopsys Inc",373.19,-0.81,-0.22%,378.3,372.02,543774,"12:56 ET"
TEAM,"Atlassian Corp",154.5,-2.85,-1.81%,158.86,153.04,914449,"12:56 ET"
TMUS,"T-Mobile US",142.52,1.01,+0.71%,142.87,140.49,3240877,"12:56 ET"
TSLA,"Tesla Inc",178.65,-5.48,-2.98%,186.2199,177.33,79491324,"12:56 ET"
TXN,"Texas Instruments",175.81,-1.32,-0.75%,179.09,175.05,2919369,"12:56 ET"
VRSK,"Verisk Analytics Inc",180.66,-0.21000000000001,-0.12%,183.91,179.8,735646,"12:54 ET"
VRTX,"Vertex Pharmaceutic",295.81,-4.83,-1.61%,301.23,294.58,622431,"12:55 ET"
WBA,"Walgreens Boots Alliance",32.71,-0.7,-2.10%,33.34,32.53,3919788,"12:56 ET"
WBD,"Discovery Inc Series A",14.31,0.15,+1.06%,14.885,14.195,10387917,"12:56 ET"
WDAY,"Workday Inc",189.43,-2.29,-1.19%,192.7,189.08,887667,"12:56 ET"
XEL,"XCEL Energy Inc",66.75,-0.48999999999999,-0.73%,67.005,65.75,2733186,"12:56 ET"
ZM,"Zoom Video Communications Cl A",69.15,-1.44,-2.04%,70.6,68.57,1353335,"12:56 ET"
ZS,"Zscaler Inc",104.4,-3.73,-3.45%,108.28,104.69,1179925,"12:55 ET"
"Downloaded from Barchart.com as of 03-17-2023 11:56am CDT"
